,host_country,game_year,event,medal_type,athlete_country
459,japan,2020,weightlifting - men's 61kg,silver,indonesia
460,japan,2020,weightlifting - men's 61kg,gold,china
461,japan,2020,weightlifting - men's 61kg,bronze,kazakhstan
462,japan,2020,weightlifting - women's 55kg,silver,china
463,japan,2020,weightlifting - women's 55kg,bronze,kazakhstan
464,japan,2020,weightlifting - women's 55kg,gold,philippines
465,japan,2020,weightlifting - men's 67kg,bronze,italy
466,japan,2020,weightlifting - men's 67kg,silver,colombia
467,japan,2020,weightlifting - men's 67kg,gold,china
468,japan,2020,weightlifting - men's 81kg,gold,china
469,japan,2020,weightlifting - men's 81kg,silver,dominican republic
470,japan,2020,weightlifting - men's 81kg,bronze,italy
471,japan,2020,weightlifting - women's +87kg,bronze,usa
472,japan,2020,weightlifting - women's +87kg,silver,great britain
473,japan,2020,weightlifting - women's +87kg,gold,china
474,japan,2020,weightlifting - women's 87kg,silver,ecuador
475,japan,2020,weightlifting - women's 87kg,bronze,dominican republic
476,japan,2020,weightlifting - women's 87kg,gold,china
477,japan,2020,weightlifting - men's +109kg,bronze,syrian arab republic
478,japan,2020,weightlifting - men's +109kg,gold,georgia
479,japan,2020,weightlifting - men's +109kg,silver,iran
480,japan,2020,weightlifting - women's 59kg,silver,turkmenistan
481,japan,2020,weightlifting - women's 59kg,bronze,japan
482,japan,2020,weightlifting - women's 59kg,gold,chinese taipei
483,japan,2020,weightlifting - women's 64kg,gold,canada
484,japan,2020,weightlifting - women's 64kg,silver,italy
485,japan,2020,weightlifting - women's 64kg,bronze,chinese taipei
486,japan,2020,weightlifting - men's 73kg,gold,china
487,japan,2020,weightlifting - men's 73kg,silver,venezuela
488,japan,2020,weightlifting - men's 73kg,bronze,indonesia
489,japan,2020,weightlifting - women's 49kg,silver,india
490,japan,2020,weightlifting - women's 49kg,bronze,indonesia
491,japan,2020,weightlifting - women's 49kg,gold,china
